Category,Url,Product Title,SKU,Price,Save percent,Product list price,Image url,Product details,ProductFullDescriptionHtml,Theme,Feature,Number of Sinks,Finish,Type,Countertop Material,Collections,UPC,Sink Shape,Length,Material,Faucet Holes,Number of Basins,Shape,Installation Type,Gallons per Flush,Rough-In,LeverPlacement,Flush Type,Width,Front to Back,Depth,Height,Frame Finish,DoorType,Frame Type,GlassTickness,GlassType,Hardware Finish,Collection,Available Options,Manufacturer Resources,Product Gallery,About the Manufacturer
Home > Bath > All Bath Brands > Duravit>Benches,https://www.kbauthority.com/duravit-790855000000000-blue-moon-54-4-5-x-13-4-5-inch-bench-support-rail-for-700143000000090-bathtub.html,Duravit 790855000000000 Blue Moon 54-4/5  x 13-4/5 Inch Bench-Support Rail for 700143000000090 Bathtub,__@ 790855000000000,__@ $1973.61,__@  35%,__@ $3045.00,https://www.kbauthority.com/images/T/55/43434_web2_prod_normal_2.jpg,"Duravit 790855000000000 Blue Moon 54-4/5  x 13-4/5 Inch Bench-Support Rail for 700143000000090 Bathtub
Features:  
		Material: solid wood
		Color: teak
SKU: 790855000000000","<div class=""collapsed"" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
<div class=""banner-wrapper"">
<div class=""banner-system cycle-slideshow"" data-cycle-auto-height=""860:400"" data-cycle-center-horz=""true"" data-cycle-center-vert=""true"" data-cycle-fx=""none"" data-cycle-slides=""&gt; div"" data-cycle-timeout=""5000"" id=""slideshow66"" style=""height: 329.302px;"">
<div class=""slideshow_content_I_228 cycle-slide cycle-slide-active"" style=""position: absolute; top: 0px; left: 0px; z-index: 99; opacity: 1; display: block; visibility: visible; margin-left: 0px; margin-top: 9.5px;"">
<img alt="""" src=""https://www.kbauthority.com/images/A/Produktserie-Duravit-Cape-Cod.jpg""/> </div></div>
</div>
</div>
<p>
<strong>Duravit 790855000000000 Blue Moon 54-4/5  x 13-4/5 Inch Bench-Support Rail for <span class=""product-title"">700143000000090 Bathtub</span></strong></p>
<p>
<strong>Features: </strong> </p>
<ul>
<li>
		Material: solid wood</li>
<li>
		Color: teak</li>
</ul>
<p>
<strong>SKU: <strong>790855000000000 </strong></strong></p>
</div>",,,,,,,,__@ 04021534402210,,,,,,,,,,,,,,,,,,,,,,__@ Blue Moon,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Benches,https://www.kbauthority.com/duravit-790856000000000-blue-moon-54-4-5-x-13-4-5-inch-bench-support-rail-with-clothes-rail-for-700143000000090-bathtub.html,Duravit 790856000000000 Blue Moon 54-4/5 x 13-4/5 Inch Bench-Support Rail with Clothes Rail for 700143000000090 Bathtub,__@ 790856000000000,__@ $2570.49,__@  35%,__@ $3960.00,https://www.kbauthority.com/images/T/55/43445_web2_prod_normal_2.jpg,"Duravit 790856000000000 Blue Moon 54-4/5 x 13-4/5 Inch Bench-Support Rail with Clothes Rail for 700143000000090 Bathtub
Features:  
		Material: solid wood
		Color: teak
SKU: 790856000000000","<div class=""collapsed"" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
<div class=""banner-wrapper"">
<div class=""banner-system cycle-slideshow"" data-cycle-auto-height=""860:400"" data-cycle-center-horz=""true"" data-cycle-center-vert=""true"" data-cycle-fx=""none"" data-cycle-slides=""&gt; div"" data-cycle-timeout=""5000"" id=""slideshow66"" style=""height: 329.302px;"">
<div class=""slideshow_content_I_228 cycle-slide cycle-slide-active"" style=""position: absolute; top: 0px; left: 0px; z-index: 99; opacity: 1; display: block; visibility: visible; margin-left: 0px; margin-top: 9.5px;"">
<img alt="""" src=""https://www.kbauthority.com/images/A/Produktserie-Duravit-Cape-Cod.jpg""/> </div></div>
</div>
</div>
<p>
<strong>Duravit 790856000000000 Blue Moon 54-4/5 x 13-4/5 Inch Bench-Support Rail with Clothes Rail for <span class=""product-title"">700143000000090 Bathtub</span></strong></p>
<p>
<strong>Features: </strong> </p>
<ul>
<li> 
		Material: solid wood</li>
<li> 
		Color: teak</li>
</ul>
<p> 
	 </p>
<p>
<strong>SKU: 790856000000000 </strong></p>
</div>",,,,,,,,__@ 04021534402517,,,,,,,,,,,,,,,,,,,,,,__@ Blue Moon,,,https://www.kbauthority.com/images/D.cache.dpicon/20695.jpg,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
