Link,Full Name,SKU,Summary,Price Currency,Price,Availability,PriceValidUntil,Aggregate Rating,Review Count,Available Finishes / Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Specifications,Faucet Installation,cUPC Certification,NSF Certification,Lead Free,Undermount Installation,Flush DXF,Full DXF,Negative DXF,Water Sense,Topmount Installation,Apron Installation,Undermount To Laminate Installation,Warranty,Care and Cleaning Manual,ICC Certification,Installation,Specification,Vessel Installation
https://www.mrdirectint.com/st-tf-mo-mocha-colored-quartz-granite-flange.html,Mocha Colored Quartz Granite Flange ST-TF-M,ST-TF-M,"Our color flanges are designed to perfectly match each one of the colors of our Quartz Granite sink line. The purpose of a flange is to cover the rim of the garbage disposal, so the appearance of your sink is uniform in color. Each flange measures the standard 3 1/2-inches in diameter, and includes a removable, perforated tray that can act as a strainer or a stopper.",USD,45.00,InStock,2021-07-30,5,1, ST-TF-M,Available in Six Matching Colors,Flange Inserts Over Disposal Flange,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-tf-m/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-m/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-m/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-tf-sl-silver-colored-quartz-granite-flange.html,Silver-Colored Quartz Granite Flange ST-TF-SL,ST-TF-SL,"Our color flanges are designed to perfectly match each one of the colors of our Quartz Granite sink line. The purpose of a flange is to cover the rim of the garbage disposal, so the appearance of your sink is uniform in color. Each flange measures the standard 3 1/2-inches in diameter, and includes a removable, perforated tray that can act as a strainer or a stopper.",USD,45.00,InStock,2021-07-30,5,2, ST-TF-SL,Available in Six Matching Colors,Flange Inserts Over Disposal Flange,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-tf-sl/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-sl/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-sl/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-tf-st-slate-colored-quartz-granite-flange.html,Slate Colored Quartz Granite Flange ST-TF-ST,ST-TF-ST,"Our color flanges are designed to perfectly match each one of the colors of our Quartz Granite sink line. The purpose of a flange is to cover the rim of the garbage disposal, so the appearance of your sink is uniform in color. Each flange measures the standard 3 1/2-inches in diameter, and includes a removable, perforated tray that can act as a strainer or a stopper.",USD,45.00,InStock,2021-07-30,1,1, ST-TF-ST,Available in Six Matching Colors,Flange Inserts Over Disposal Flange,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-tf-st/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-st/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-st/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-tf-be-beige-colored-quartz-granite-flange.html,Beige Colored Quartz Granite Flange ST-TF-BE,ST-TF-BE,"Our color flanges are designed to perfectly match each one of the colors of our Quartz Granite sink line. The purpose of a flange is to cover the rim of the garbage disposal, so the appearance of your sink is uniform in color. Each flange measures the standard 3 1/2-inches in diameter, and includes a removable, perforated tray that can act as a strainer or a stopper.",USD,45.00,InStock,2021-07-30,5,1, ST-TF-BE,Available in Six Matching Colors,Flange Inserts Over Disposal Flange,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-tf-be/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-be/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-be/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/3218c-g-sink-grid.html,Sink Grid G-3218C-O,G-3218C-O,"Custom fit for each MR Direct model, these dishwasher-safe sink grids keep the bottom of your sink scratch and dent-free. Rubber feet on the bottom of the grids won't damage the sink's surface and can be removed for cleaning.",USD,52.00,InStock,2021-07-30,5,1,,Custom-Fitted to Each Sink,Scratch-Preventative Removable Rubber Feet,Dishwasher Safe,Protective Rubber Bumpers,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/g-3218c-o/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/g-3218c-o/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/848-g-sink-grid.html,Sink Grid G-848-O,G-848-O,"Custom fit for each MR Direct model, these dishwasher-safe sink grids keep the bottom of your sink scratch and dent-free. Rubber feet on the bottom of the grids won't damage the sink's surface and can be removed for cleaning.",USD,57.00,InStock,2021-07-30,5,1,,Custom-Fitted to Each Sink,Scratch-Preventative Removable Rubber Feet,Dishwasher Safe,Protective Rubber Bumpers,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/g-848-o/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/g-848-o/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/3118-g-sink-grid.html,Sink Grid G-3118-O,G-3118-O,"Custom fit for each MR Direct model, these dishwasher-safe sink grids keep the bottom of your sink scratch and dent-free. Rubber feet on the bottom of the grids won't damage the sink's surface and can be removed for cleaning.",USD,52.00,OutOfStock,2021-07-30,5,1,,Custom-Fitted to Each Sink,Scratch-Preventative Removable Rubber Feet,Dishwasher Safe,Protective Rubber Bumpers,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/g-3118-o/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/g-3118-o/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/3120s-g-sink-grid.html,Sink Grid G-3120S-O,G-3120S-O,"Custom fit for each MR Direct model, these dishwasher-safe sink grids keep the bottom of your sink scratch and dent-free. Rubber feet on the bottom of the grids won't damage the sink's surface and can be removed for cleaning.",USD,69.00,OutOfStock,2021-07-30,5,2,,Custom-Fitted to Each Sink,Scratch-Preventative Removable Rubber Feet,Dishwasher Safe,Protective Rubber Bumpers,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/g-3120s-o/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/g-3120s-o/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/3120d-g-sink-grid.html,Sink Grid G-3120D-O,G-3120D-O,"Custom fit for each MR Direct model, these dishwasher-safe sink grids keep the bottom of your sink scratch and dent-free. Rubber feet on the bottom of the grids won't damage the sink's surface and can be removed for cleaning.",USD,57.00,InStock,2021-07-30,5,1,,Custom-Fitted to Each Sink,Scratch-Preventative Removable Rubber Feet,Dishwasher Safe,Protective Rubber Bumpers,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/g-3120d-o/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/g-3120d-o/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/503-gl-large-sink-grid.html,Sink Grid G-503-L,G-503-L,"Custom fit for each MR Direct model, these dishwasher-safe sink grids keep the bottom of your sink scratch and dent-free. Rubber feet on the bottom of the grids won't damage the sink's surface and can be removed for cleaning.",USD,45.00,InStock,2021-07-30,5,1,,Custom-Fitted to Each Sink,Scratch-Preventative Removable Rubber Feet,Dishwasher Safe,Protective Rubber Bumpers,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/g-503-l/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/g-503-l/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
