Link,Full Name,SKU,Summary,Price Currency,Price,Availability,PriceValidUntil,Aggregate Rating,Review Count,Available Finishes / Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Specifications,Faucet Installation,cUPC Certification,NSF Certification,Lead Free,Undermount Installation,Flush DXF,Full DXF,Negative DXF,Water Sense,Topmount Installation,Apron Installation,Undermount To Laminate Installation,Warranty,Care and Cleaning Manual,ICC Certification,Installation,Specification,Vessel Installation
https://www.mrdirectint.com/stainless-steel-cleaning-kit.html,Stainless Steel Cleaning Kit SSCK,SSCK,"The Pro Care Stainless Steel Cleaning Kit is an innovative collection of cleaning products designed to maintain stainless steel sinks, appliances and more. Bring back the shine and eliminate smudges and stains, so your stainless steel surfaces look brand new. This kit includes the following items: 1 - Cleaning Spray, 1 - Melamine Sponge, 1- Microfiber Cloth, and 1 - Bar Keepers Friend Sample. This daily maintenance spray features a water-based, molecular-bonding and breathable sealer that cuts through smudges, sticky residue and grease to reveal a polished, streak-free shine. Simplify the cleaning process with this easy-to-use kit.  Use the soft cloth to wipe away the cleaning spray, and the melamine sponge to gently rub away tough stains. This product is designed for use on stainless steel only and should be kept out of reach of children and pets. Individual results will vary. The manufacturer is not responsible for damage resulting from misuse of this product kit.",USD,29.00,InStock,2021-07-30,5,1,,Use on Non-Coated Stainless Steel Only,4-piece set,Produces a streak-free shine,"Removes smudges, grease and streaks",,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/ssck/alt/21.1000.png,https://www.mrdirectint.com/media/products/accessory/ssck/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/ssck/alt/02.1000.png,,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/ssck_specs.pdf,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/quartz-granite-cleaning-kit.html,Granite and Stone Cleaning Kit TGCK,TGCK,"The Pro Care Granite & Stone Cleaning Kit features a powerful solution to maintain your stone surfaces. Reduce residue, cut through smudges, grease and sticky leftovers with this innovative collection of products. Designed as an easy way to maintain the polished and streak-free look of your granite and stone surfaces, this cleaning kit leaves sinks or countertops looking brand new. The cleaning spray's formula is crafted with a molecular bonding, water-based, breathable sealer to break through those tough stains without wax or residue build up. The Granite & Stone Cleaning Kit includes: 1 - Cleaning Spray, 1 - Melamine Sponge, 1- Microfiber Cloth, and 1 -Bar Keepers Friend Sample. This kit is designed for use on quartz, corian, formica, tile, glazed ceramic, polished marble and concrete. Individual results vary. Keep this product out of reach of pets and children. The manufacturer is not responsible for damage resulting from misuse of this product kit.",USD,29.00,InStock,2021-07-30,5,1,,4-piece set,Use on granite and stone surfaces only,No wax or residue build up,"Removes smudges, grease and streaks",,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/tgck/alt/21.1000.png,https://www.mrdirectint.com/media/products/accessory/tgck/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/tgck/alt/02.1000.png,,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/tgck_specs.pdf,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/stainless-touch-up-kit.html,Stainless Steel Touch-Up Kit STUK,STUK,"The ProCare: Stainless Touch Up Kit is an outstanding non-toxic restoration kit among leading professionals and general consumers. This product is perfect for light scratches and scuffs or chemical stains on small surface areas. This kit can be used on stainless steel sinks, oven hoods, grills, or any other non-coated true stainless steel surface. This product includes a bundle of all the necessary tools needed to easily and safely restore any small surface of authentic, non-coated satin or brushed stainless steel. This kit includes the following items: 2 - .25oz. Ultra Shine&#8482; Packets, 1 - Small Yellow Handle w/Brown Reconditioning Pad, 1 - Small Blue Handle w/Grey Fine Finishing Pad, 1 - Tru-Metal Test Strip&#8482;, 1 - Microfiber Cloth, and an instruction pamphlet. Don't use this product on any coated stainless steel objects. The manufacturer is not responsible for damage resulting from misuse of this product. KEEP OUT OF REACH OF CHILDREN AND PETS. Individual results will vary.",USD,29.00,InStock,2021-07-30,5,1,,7-piece set,Use on non-coated stainless steel only,Non-toxic gentle formula,Small Area Restoration Kit,Permanently Removes Blemishes,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/stuk/alt/21.1000.png,https://www.mrdirectint.com/media/products/accessory/stuk/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/stuk/alt/01.1000.png,,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/stuk_specs.pdf,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/copper-wax.html,Copper Patina Maintenance Wax CWAX,CWAX,"The MR Direct ProCare: Copper Wax is an outstanding product created to preserve the patina on your copper appliances by producing a protective coating on the surface. This wax can be applied to cool or warm, clear-coated or non-coated areas. If the surface is extremely hot, let the area cool down before applying the wax. This product also tends to work better when warmed up, as it will easily set into the pores of the metal. The ProCare: Copper Wax consists of a perfect blend of the finest waxes known for finishing copper, along with the most effective binders, rust and UV inhibitors. Before using this product, thoroughly review the instructions and guidelines. The manufacturer is not responsible for damage resulting from misuse of this product. KEEP OUT OF REACH OF CHILDREN AND PETS. Individual results will vary.",USD,35.00,InStock,2021-07-30,5,1,,Includes 1 - 2 oz. Tub of Wax,Protects Copper Patina,Consumer- Friendly,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/cwax/alt/21.1000.png,https://www.mrdirectint.com/media/products/accessory/cwax/product/main.1000.png,,,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/cwax_specs.pdf,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/stainless-steel-repair-kit.html,Stainless Steel Repair Kit SSRK,SSRK,"MR Direct has partnered with Scratch-B-Gone to develop the Pro Care: Stainless Steel Scratch Repair kit, an outstanding non-toxic restoration kit among leading professionals and general consumers. It permanently removes blemishes like chemical discoloration, scratches, bleach, rust, and heat scorch marks. The Pro Care: Stainless Steel Scratch Repair kit can be used on stainless steel sinks, oven hoods, grills, or any other non-coated true stainless steel surface. This highly recommended product includes a bundle of all the necessary tools needed to easily and safely restore any authentic, non-coated satin or brushed stainless steel surface. If you're working on a restoration or cleaning project, this package should provide everything you need to get the job done: 1- patented grip handle, 1- gray finishing pad, 1- brown finishing pad, 1- burgundy foam-backed pad, 1 coarse abrasive finger strip, 1 TruMetal Test Strip&trade;, 1- 1 fl. oz. Ultra Shine&trade; bottle, 1- microfiber cloth and an instruction pamphlet. Do not use this product on any coated stainless steel objects. Before starting any restoration project, thoroughly review the enclosed instructions and guidelines. The manufacturer is not responsible for damage resulting from misuse of this product. KEEP OUT OF REACH OF CHILDREN AND PETS. Individual results will vary.",USD,58.00,InStock,2021-07-30,5,1,,9 Piece Set,Use on Non-Coated Stainless Steel Only,Non-Toxic Gentle Formula,Permanently Removes Blemishes,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/ssrk/alt/21.1000.png,https://www.mrdirectint.com/media/products/accessory/ssrk/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/ssrk/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/ssrk/alt/02.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/ssrk_specs.pdf,,,,,,,,,,,,,,,,,,
